id,keyword,location,text
1,,,csce 221 s yllabus polsle y - spring 2022 course information course number:csce 221course title:data structures and algorithmssection:513-516credit hours:4space and time:lectureall sections:310 zachmwf12:40 pm - 1:30 pmlabs513:584 zachmw8:00 am - 8:50 am514:584 zachmw9:10 am - 10:00 am515:584 zachmw10:20 am - 11:10 am516:584 zachmw11:30 am - 12:20 pm instructor details instructor:seth polsleyoffice:eabc 112ce-mail:spolsley@tamu.eduoffic
2,,,hours:in person:112 eabcmf2:00 pm - 3:30 pmonline:calendly.com/spolsleyb
3,,,appointment teaching assistant:pedro figueiredoemail:pedrofigueiredo@tamu.eduoffic
4,,,hours:online:calendly.com/pedrofigueiredob
5,,,"appointment course description from the csce course catalog:specification and implementation of basic abstract data types and their associated algorithmsincluding stacks, queues, lists, sorting and selection, searching, graphs, and hashing; performancetradeoffs of different implementations and asymptotic analysis of running time and memory usage;includes the execution of student programs written in c++"
6,,,data structures and algorithms is one of the core cs classes because it covers fundamentals of storingand processing data while introducing design and analysis of algorithms
7,,,"many coding interviews,programming tests, and future classes will depend on material from this class"
8,,,"course prerequisites pre-requisit es: csce 121 (introduction to program design and concepts) orcsce 113 (intermediate programming & design) co-requisit es:csce 222 / ecen 222 (discrete structures for computing) ormath 302 (discrete mathematics) course learning outcomes this course details key concepts in computer science, aligning closely with the two tightly-integratedfields in the title: “data structures” and “algorithms."
9,,,"accordingly, the content and expected outcomesare structured along these paths"
10,,,"by the end of this course, you should be able to: -describe basic abstract data types andassociated algorithms for lists, stacks,queues, trees, graphs, hash tables, andother similar structures"
11,,,-apply big-o asymptotic notation toevaluate and select efficient algorithmsfor a given problem with respect totimeand memory usage
12,,,-define and analyze algorithmiccomplexity especially in regards to timeand memory efficiency -design and implement different datastructures according to resourcerequirements in the c++ programming language
13,,,"textbook and resources textbookrecommended textbook:data structures and algorithm analysis in c++by markweiss, 4th ed"
14,,,"while this book is widely used in the field, there are many other c++ guidesand websites that you may find helpful to consult as well"
15,,,"canvascanvas will contain class materials, assignment descriptions, and grades"
16,,,youcan access the course on canvas through your howdy portal
17,,,"piazz a piazza will be used for q&a, announcements, and as a forum for other questions in the class"
18,,,piazza ispreferred over email so that others can benefit from seeing the answers to your questions
19,,,you can alsoask private questions to the instructor and ta
20,,,"you can self-enroll by visiting the link below and using thespecified access code if you wish; alternatively, you will be auto-enrolled by the end of the add/dropperiod"
21,,,http://piazza.com/tamu/spring2022/csce221polsley(accesscode
